,League,Sport,Country(ies),Season,Level on Pyramid,Teams,Matches / Games / Events,Revenue (M Euro),Revenue p/Team,Revenue p/Match (thousands),run_datetime
0,National Football League (NFL),American football,['United States'],2022,1,32,285.0,17035.0,532.35,59772.0,2023-Feb-16-19:21-08
1,Major League Baseball (MLB),Baseball,"['United States', 'Canada']",2019,1,30,2467.0,9780.0,326.0,3964.0,2023-Feb-16-19:21-08
2,National Basketball Association (NBA),Basketball,"['United States', 'Canada']",2021-22,1,30,1324.0,9541.0,318.0,7206.0,2023-Feb-16-19:21-08
3,Premier League (EPL),Association football,"['England ', 'Wales']",2021–22,1,20,380.0,6100.0,305.0,15432.0,2023-Feb-16-19:21-08
4,National Hockey League (NHL),Ice hockey,"['United States ', 'Canada']",2021-22,1,32,1358.0,4920.0,153.0,3608.0,2023-Feb-16-19:21-08
5,Campeonato Nacional de Liga de Primera División (La Liga),Association football,['Spain'],2021–22,1,20,380.0,3400.0,170.0,8800.0,2023-Feb-16-19:21-08
6,Fußball-Bundesliga (Bundesliga),Association football,['Germany'],2021–22,1,18,306.0,3000.0,150.0,11288.0,2023-Feb-16-19:21-08
7,Lega Nazionale Professionisti Serie A (Serie A),Association football,['Italy'],2021-22,1,20,380.0,2300.0,115.0,6793.0,2023-Feb-16-19:21-08
8,Championnat de France de football (Ligue 1),Association football,"['France', 'Monaco']",2021-22,1,20,380.0,1700.0,85.0,4979.0,2023-Feb-16-19:21-08
9,Major League Soccer (MLS),Association football,"['United States', 'Canada']",2022,1,28,489.0,1490.0,53.6,3272.0,2023-Feb-16-19:21-08
10,Nippon Professional Baseball (NPB),Baseball,['Japan'],2016,1,12,880.0,1184.0,98.7,1345.0,2023-Feb-16-19:21-08
11,Indian Premier League (IPL),Twenty20 cricket,['India'],2023,1,10,74.0,1181.0,118.1,15971.0,2023-Feb-16-19:21-08
12,Australian Football League (AFL),Australian rules football,['Australia'],2019,1,18,207.0,961.0,53.4,4642.0,2023-Feb-16-19:21-08
13,Chinese Football Association Super League (CSL),Association football,['China'],2016,1,16,240.0,945.0,59.0,3938.0,2023-Feb-16-19:21-08
14,Russian Premier League (RPL),Association football,['Russia'],2018–19,1,16,240.0,876.0,54.8,3650.0,2023-Feb-16-19:21-08
15,J1 League,Association football,['Japan'],2017,1,18,306.0,860.0,48.0,2810.0,2023-Feb-16-19:21-08
16,Kontinental Hockey League (KHL),Ice hockey,"['Russia', 'Belarus', 'China', 'Kazakhstan[j]']",2016–17,1,24,944.0,820.0,28.3,869.0,2023-Feb-16-19:21-08
17,Campeonato Brasileiro Série A (Brasileirão),Association football,['Brazil'],2020,1,20,380.0,783.4,39.2,2062.0,2023-Feb-16-19:21-08
18,2. Fußball-Bundesliga (2. Bundesliga),Association football,['Germany'],2018–19,2,18,306.0,781.5,43.4,2554.0,2023-Feb-16-19:21-08
19,English Football League Championship (EFL Championship),Association football,"['England', 'Wales']",2020–21,2,24,557.0,699.3,29.2,1256.0,2023-Feb-16-19:21-08
20,Turkish Süper Lig,Association football,['Turkey'],2018–19,1,18,306.0,670.0,37.2,2190.0,2023-Feb-16-19:21-08
21,Eredivisie,Association football,['Netherlands'],2018–19,1,10,312.0,578.0,32.1,1853.0,2023-Feb-16-19:21-08
22,Chinese Basketball Association (CBA),Basketball,['China'],2015–16,1,20,405.0,575.8,28.8,1422.0,2023-Feb-16-19:21-08
23,Liga MX,Association football,['Mexico'],2018-19,1,18,334.0,555.0,30.8,1662.0,2023-Feb-16-19:21-08
24,Primeira Liga,Association football,['Portugal'],2018–19,1,18,306.0,524.0,29.1,1712.0,2023-Feb-16-19:21-08
25,Liga Profesional de Fútbol,Association football,['Argentina'],2018–19,1,26,325.0,490.8,18.9,1510.0,2023-Feb-16-19:21-08
26,Belgian First Division A,Association football,['Belgium'],2018–19,1,16,191.0,445.0,27.8,2330.0,2023-Feb-16-19:21-08
27,Korea Baseball Organization League (KBO League),Baseball,['South Korea'],2018,1,10,590.0,396.3,39.6,672.0,2023-Feb-16-19:21-08
28,Lega Nazionale Professionisti B (Serie B),Association football,['Italy'],2017–18,2,22,470.0,353.0,16.0,751.0,2023-Feb-16-19:21-08
29,National Rugby League (NRL),Rugby league football,"['Australia', 'New Zealand']",2020,1,16,201.0,342.8,21.4,1705.0,2023-Feb-16-19:21-08
30,Championnat de France de rugby à XV (Top 14),Rugby union football,['France'],2017–18,1,14,187.0,337.2,24.1,1803.0,2023-Feb-16-19:21-08
31,Campeonato Nacional de Liga de Segunda División (LaLiga2),Association football,['Spain'],2017–18,2,22,468.0,326.8,14.9,698.0,2023-Feb-16-19:21-08
32,K League,Association football,['South Korea'],2019,1,12,228.0,287.0,23.9,1258.0,2023-Feb-16-19:21-08
33,J2 League,Association football,['Japan'],2015,2,22,462.0,262.0,11.9,567.0,2023-Feb-16-19:21-08
34,Saudi Professional League (SPL),Association football,['Saudi Arabia'],2016–17,1,14,182.0,254.6,18.2,1399.0,2023-Feb-16-19:21-08
35,Premiership Rugby,Rugby union football,['England'],2015–16,1,12,135.0,251.4,21.0,1862.0,2023-Feb-16-19:21-08
36,Scottish Premiership (SPL),Association football,['Scotland'],2018–19,1,12,228.0,237.0,19.8,1039.0,2023-Feb-16-19:21-08
37,Swiss Super League,Association football,"['Switzerland', 'Liechtenstein[s]']",2018–19,1,10,180.0,230.0,14.4,958.0,2023-Feb-16-19:21-08
38,Austrian Football Bundesliga,Association football,['Austria'],2018–19,1,12,192.0,224.0,18.7,1167.0,2023-Feb-16-19:21-08
39,Championnat de France de football de Ligue 2 (Ligue 2),Association football,['France'],2016–17,2,20,380.0,219.0,11.0,576.0,2023-Feb-16-19:21-08
40,English Football League One (EFL League One),Association football,"['England', 'Wales[t]']",2018–19,3,24,557.0,215.5,9.0,387.0,2023-Feb-16-19:21-08
41,Danish Superliga,Association football,['Denmark'],2018–19,1,14,250.0,197.0,14.1,788.0,2023-Feb-16-19:21-08
42,Swedish Hockey League (SHL),Ice hockey,['Sweden'],2018–19,1,14,409.0,183.0,13.0,447.0,2023-Feb-16-19:21-08
43,Categoria Primera A,Association football,['Colombia'],–,1,18,452.0,176.0,10.0,389.0,2023-Feb-16-19:21-08
44,Big Bash League,Twenty20 cricket,['Australia'],2018–19,1,8,59.0,173.0,21.6,2932.0,2023-Feb-16-19:21-08
45,National League (NL),Ice hockey,['Switzerland'],2013–14,1,12,339.0,167.0,13.9,493.0,2023-Feb-16-19:21-08
46,Allsvenskan,Association football,['Sweden'],2019,1,16,240.0,156.0,9.8,650.0,2023-Feb-16-19:21-08
47,B1 League,Basketball,['Japan'],2017–18,1,18,561.0,153.4,8.5,273.0,2023-Feb-16-19:21-08
